quarter,manufacturer,registrations,lag_q,lag_y,qoq_pct,yoy_pct
2024-04-01,Hero Motocorp Ltd,2007072,2690944.0,4241532.0,-25.41,-52.68
2024-04-01,Honda Motorcycle And Scooter India (P) Ltd,1606466,2190180.0,2435373.0,-26.65,-34.04
2024-04-01,Tvs Motor Company Ltd,1121977,1572424.0,2116933.0,-28.65,-47.0
2024-04-01,Bajaj Auto Ltd,890217,1310593.0,1784936.0,-32.08,-50.13
2024-04-01,Maruti Suzuki India Ltd,550657,921640.0,1114770.0,-40.25,-50.6
2024-04-01,Suzuki Motorcycle India Pvt Ltd,323125,454851.0,562089.0,-28.96,-42.51
2024-04-01,Royal-Enfield (Unit Of Eicher Ltd),278750,404638.0,589082.0,-31.11,-52.68
2024-04-01,Mahindra & Mahindra Limited,230342,387503.0,498926.0,-40.56,-53.83
2024-04-01,India Yamaha Motor Pvt Ltd,223130,331498.0,391122.0,-32.69,-42.95
2024-04-01,Hyundai Motor India Ltd,193598,298063.0,407232.0,-35.05,-52.46
2024-04-01,Tata Motors Passenger Vehicles Ltd,155668,258279.0,345369.0,-39.73,-54.93
2024-04-01,Ola Electric Technologies Pvt Ltd,147717,250498.0,210842.0,-41.03,-29.94
2024-04-01,Tata Motors Ltd,133712,208685.0,275837.0,-35.93,-51.52
2024-04-01,Toyota Kirloskar Motor Pvt Ltd,79914,126189.0,143225.0,-36.67,-44.2
2024-04-01,Kia India Private Limited,79876,124121.0,156814.0,-35.65,-49.06
2024-04-01,Ashok Leyland Ltd,62918,95079.0,135385.0,-33.83,-53.53
2024-04-01,Mahindra & Mahindra Limited (Tractor),60017,118846.0,156116.0,-49.5,-61.56
2024-04-01,Mahindra & Mahindra Limited (Swaraj Division),49683,93478.0,117877.0,-46.85,-57.85
2024-04-01,Piaggio Vehicles Pvt Ltd,38399,71344.0,81975.0,-46.18,-53.16
2024-04-01,Tafe Limited,34591,68773.0,94172.0,-49.7,-63.27
2024-04-01,International Tractors Limited,34056,65438.0,87239.0,-47.96,-60.96
2024-04-01,Escorts Kubota Limited (Agri Machinery Group),29159,50004.0,76553.0,-41.69,-61.91
2024-04-01,Ve Commercial Vehicles Ltd,27844,39338.0,63739.0,-29.22,-56.32
2024-04-01,Skoda Auto Volkswagen India Pvt Ltd,26616,42151.0,61931.0,-36.86,-57.02
2024-04-01,Mahindra Last Mile Mobility Ltd,23916,48057.0,549.0,-50.23,4256.28
2024-04-01,Honda Cars India Ltd,22553,45952.0,47404.0,-50.92,-52.42
2024-04-01,Tata Passenger Electric Mobility Ltd,21317,36703.0,29373.0,-41.92,-27.43
2024-04-01,Ather Energy Pvt Ltd,20767,72623.0,83931.0,-71.4,-75.26
2024-04-01,John Deere India Pvt Ltd(Tractor Devision),20313,35910.0,55591.0,-43.43,-63.46
2024-04-01,Mg Motor India Pvt Ltd,17599,24854.0,39487.0,-29.19,-55.43
2024-04-01,Eicher Tractors,17009,34812.0,38838.0,-51.14,-56.21
2024-04-01,Renault India Pvt Ltd,15618,22796.0,39171.0,-31.49,-60.13
2024-04-01,Yc Electric Vehicle,13623,20514.0,29204.0,-33.59,-53.35
2024-04-01,Jcb India Limited,13288,23766.0,25674.0,-44.09,-48.24
2024-04-01,Local Trailer Manufacturer,13230,26109.0,33755.0,-49.33,-60.81
2024-04-01,Cnh Industrial (India) Pvt Ltd,10913,20333.0,32773.0,-46.33,-66.7
2024-04-01,Classic Legends Pvt Ltd,10748,16409.0,22054.0,-34.5,-51.27
2024-04-01,Force Motors Limited,10650,16331.0,19383.0,-34.79,-45.05
2024-04-01,Greaves Electric Mobility Pvt Ltd,9246,16256.0,10092.0,-43.12,-8.38
2024-04-01,Saera Electric Auto Pvt Ltd,9065,13612.0,19158.0,-33.4,-52.68
2024-04-01,Atul Auto Ltd,8865,13118.0,14786.0,-32.42,-40.04
2024-04-01,Nissan Motor India Pvt Ltd,8789,15212.0,20811.0,-42.22,-57.77
2024-04-01,Daimler India Commercial Vehicles Pvt. Ltd,7871,12269.0,16398.0,-35.85,-52.0
2024-04-01,Dilli Electric Auto Pvt Ltd,7745,12589.0,18072.0,-38.48,-57.14
2024-04-01,Bmw India Pvt Ltd,6980,10682.0,15048.0,-34.66,-53.62
2024-04-01,Wardwizard Innovations & Mobility Limited,5164,5965.0,3456.0,-13.43,49.42
2024-04-01,Mercedes-Benz India Pvt Ltd,5145,8232.0,9921.0,-37.5,-48.14
2024-04-01,Sml Isuzu Ltd,5068,5032.0,11118.0,0.72,-54.42
2024-04-01,Mini Metro Ev L.L.P,4683,7088.0,11468.0,-33.93,-59.16
2024-04-01,Unique International,4624,6547.0,9716.0,-29.37,-52.41
2024-04-01,Kubota Agricultural Machinery India Pvt.Ltd.,4544,10224.0,14234.0,-55.56,-68.08
2024-04-01,Energy Electric Vehicles,4075,5999.0,6910.0,-32.07,-41.03
2024-04-01,Bgauss Auto Private Limited,3840,12292.0,8498.0,-68.76,-54.81
2024-04-01,Hotage India,3822,6587.0,9127.0,-41.98,-58.12
2024-04-01,Action Construction Equipment Ltd.,3600,6497.0,7891.0,-44.59,-54.38
2024-04-01,Champion Poly Plast,3574,5691.0,10217.0,-37.2,-65.02
2024-04-01,J. S. Auto (P) Ltd,3542,5831.0,8662.0,-39.26,-59.11
2024-04-01,Sks Trade India Pvt Ltd,3519,5383.0,6479.0,-34.63,-45.69
2024-04-01,Allfine Industries Pvt Ltd,3301,5314.0,7309.0,-37.88,-54.84
2024-04-01,Thukral Electric Bikes Pvt Ltd,2977,4574.0,4543.0,-34.91,-34.47
2024-04-01,Revolt Intellicorp Pvt Ltd,2955,3304.0,5503.0,-10.56,-46.3
2024-04-01,Khalsa E-Vehicles Pvt Ltd,2946,4567.0,5679.0,-35.49,-48.12
2024-04-01,Sahnianand E Vehicles Pvt Ltd,2875,4250.0,3902.0,-32.35,-26.32
2024-04-01,Kinetic Green Energy & Power Solutions Ltd,2710,13155.0,9350.0,-79.4,-71.02
2024-04-01,Lectrix Ev Pvt Ltd,2690,6553.0,8822.0,-58.95,-69.51
2024-04-01,Terra Motors India Pvt Ltd,2486,4427.0,5134.0,-43.84,-51.58
2024-04-01,Okinawa Autotech Pvt Ltd,2415,4373.0,27300.0,-44.77,-91.15
2024-04-01,Vani Electric Vehicles Pvt Ltd,2341,3815.0,5703.0,-38.64,-58.95
2024-04-01,Daksh Industries,2153,3571.0,3957.0,-39.71,-45.59
2024-04-01,Escorts Kubota Limited (Construction Equipment),2082,3318.0,3812.0,-37.25,-45.38
2024-04-01,Okaya Ev Pvt Ltd,2058,5418.0,18713.0,-62.02,-89.0
2024-04-01,Quantum Energy Ltd.,1997,2564.0,844.0,-22.11,136.61
2024-04-01,Pca Automobiles India Pvt Ltd,1979,3882.0,7657.0,-49.02,-74.15
2024-04-01,Ajax Engineering Pvt Ltd,1972,2490.0,3217.0,-20.8,-38.7
2024-04-01,Zeoplus Axis India Pvt. Ltd.,1937,2674.0,2058.0,-27.56,-5.88
2024-04-01,Best Way Agencies Pvt Ltd,1794,3214.0,5640.0,-44.18,-68.19
2024-04-01,Shri Barsana E-Vehicles Pvt Ltd,1697,2755.0,2447.0,-38.4,-30.65
2024-04-01,Pur Energy Pvt Ltd,1673,3334.0,5622.0,-49.82,-70.24
2024-04-01,Shema E- Vehcile & Solar Pvt Ltd,1638,1498.0,,9.35,
2024-04-01,G.K. Rickshaw,1565,2383.0,4345.0,-34.33,-63.98
2024-04-01,Fca India Automobiles Private Limited,1517,2571.0,5887.0,-41.0,-74.23
2024-04-01,Vijays Coolmax Private Limited,1508,2770.0,3657.0,-45.56,-58.76
2024-04-01,N0Va Automotive Technologies Pvt. Ltd,1502,2773.0,3484.0,-45.83,-56.89
2024-04-01,Mlr Auto Ltd,1450,1846.0,875.0,-21.45,65.71
2024-04-01,Hooghly Motors Pvt Ltd,1394,2308.0,2277.0,-39.6,-38.78
2024-04-01,Baxy Ltd,1331,1947.0,,-31.64,
