quarter,manufacturer,registrations
2020-01-01,"""Volvo Group India Pvt Ltd""",8105
2020-04-01,"""Volvo Group India Pvt Ltd""",1209
2020-07-01,"""Volvo Group India Pvt Ltd""",1512
2020-10-01,"""Volvo Group India Pvt Ltd""",3395
2021-01-01,"""Volvo Group India Pvt Ltd""",2203
2021-04-01,"""Volvo Group India Pvt Ltd""",967
2021-07-01,"""Volvo Group India Pvt Ltd""",989
2021-10-01,"""Volvo Group India Pvt Ltd""",1000
2022-01-01,"""Volvo Group India Pvt Ltd""",1282
2022-04-01,"""Volvo Group India Pvt Ltd""",1935
2022-07-01,"""Volvo Group India Pvt Ltd""",1668
2022-10-01,"""Volvo Group India Pvt Ltd""",1279
2023-01-01,"""Volvo Group India Pvt Ltd""",833
2023-04-01,"""Volvo Group India Pvt Ltd""",795
2023-07-01,"""Volvo Group India Pvt Ltd""",925
2023-10-01,"""Volvo Group India Pvt Ltd""",1016
2024-01-01,"""Volvo Group India Pvt Ltd""",508
2024-04-01,"""Volvo Group India Pvt Ltd""",392
2019-01-01,...j.s J.s.auto Pvt Ltd(Kanpur,5
2021-01-01,3Ev Industries Pvt Ltd,262
2021-04-01,3Ev Industries Pvt Ltd,163
2021-07-01,3Ev Industries Pvt Ltd,380
2021-10-01,3Ev Industries Pvt Ltd,135
2022-01-01,3Ev Industries Pvt Ltd,1073
2022-04-01,3Ev Industries Pvt Ltd,686
2022-07-01,3Ev Industries Pvt Ltd,180
2022-10-01,3Ev Industries Pvt Ltd,610
2023-01-01,3Ev Industries Pvt Ltd,363
2023-04-01,3Ev Industries Pvt Ltd,264
2023-07-01,3Ev Industries Pvt Ltd,600
2023-10-01,3Ev Industries Pvt Ltd,411
2024-01-01,3Ev Industries Pvt Ltd,102
2020-01-01,3Gb Technology Pvt Ltd,80
2020-04-01,3Gb Technology Pvt Ltd,1
2020-07-01,3Gb Technology Pvt Ltd,19
2021-01-01,3Gb Technology Pvt Ltd,24
2021-04-01,3Gb Technology Pvt Ltd,1
2021-07-01,3Gb Technology Pvt Ltd,12
